score,text,casefolding_text,cleaning_text,slangword_text,tokenizing_text,stopword_text,final_text,label,text_length
5,Mantab,mantab,mantab,mantab,['mantab'],['mantab'],mantab,positif,1
1,"Disuruh ubah pasword maksa banget, lupa pasword ngak terjadi apa""","disuruh ubah pasword maksa banget, lupa pasword ngak terjadi apa""",disuruh ubah pasword maksa banget lupa pasword ngak terjadi apa,disuruh ubah pasword maksa banget lupa pasword tidak terjadi apa,"['disuruh', 'ubah', 'pasword', 'maksa', 'banget', 'lupa', 'pasword', 'tidak', 'terjadi', 'apa']","['disuruh', 'ubah', 'pasword', 'maksa', 'banget', 'lupa', 'pasword', 'tidak']",disuruh ubah pasword maksa banget lupa pasword tidak,negatif,8
1,Aplikasinya untuk apa ya . Buat laporan dr juli blm direspon . !,aplikasinya untuk apa ya . buat laporan dr juli blm direspon . !,aplikasinya untuk apa ya buat laporan dr juli blm direspon,aplikasinya untuk apa ya buat laporan dr juli blm direspon,"['aplikasinya', 'untuk', 'apa', 'ya', 'buat', 'laporan', 'dr', 'juli', 'blm', 'direspon']","['aplikasinya', 'laporan', 'dr', 'juli', 'blm', 'direspon']",aplikasinya laporan dr juli blm direspon,negatif,6
1,"APLIKASI GAK BERGUNA, MASIH LOGIN SAJA SUDAH ERROR. GAK BISA DIPAKE. ITULAH HEBATNYA PEMERINTAH KITA. GAJI DAN FASILITAS MEWAH KERJA NOL.","aplikasi gak berguna, masih login saja sudah error. gak bisa dipake. itulah hebatnya pemerintah kita. gaji dan fasilitas mewah kerja nol.",aplikasi gak berguna masih login saja sudah error gak bisa dipake itulah hebatnya pemerintah kita gaji dan fasilitas mewah kerja nol,aplikasi tidak berguna masih login saja sudah error tidak bisa dipake itulah hebatnya pemerintah kita gaji dan fasilitas mewah kerja nol,"['aplikasi', 'tidak', 'berguna', 'masih', 'login', 'saja', 'sudah', 'error', 'tidak', 'bisa', 'dipake', 'itulah', 'hebatnya', 'pemerintah', 'kita', 'gaji', 'dan', 'fasilitas', 'mewah', 'kerja', 'nol']","['aplikasi', 'tidak', 'berguna', 'login', 'error', 'tidak', 'bisa', 'dipake', 'hebatnya', 'pemerintah', 'gaji', 'fasilitas', 'mewah', 'kerja', 'nol']",aplikasi tidak berguna login error tidak bisa dipake hebatnya pemerintah gaji fasilitas mewah kerja nol,negatif,15
2,Laporan saya tidak pernah di proses,laporan saya tidak pernah di proses,laporan saya tidak pernah di proses,laporan saya tidak pernah di proses,"['laporan', 'saya', 'tidak', 'pernah', 'di', 'proses']","['laporan', 'saya', 'tidak', 'proses']",laporan saya tidak proses,negatif,4
1,"Kenapa lama sekali menunggu respon laporan untuk ditindak lanjuti, hingga kini sudah minggu ke dua","kenapa lama sekali menunggu respon laporan untuk ditindak lanjuti, hingga kini sudah minggu ke dua",kenapa lama sekali menunggu respon laporan untuk ditindak lanjuti hingga kini sudah minggu ke dua,kenapa lama sekali menunggu respon laporan untuk ditindak lanjuti hingga kini sudah minggu ke dua,"['kenapa', 'lama', 'sekali', 'menunggu', 'respon', 'laporan', 'untuk', 'ditindak', 'lanjuti', 'hingga', 'kini', 'sudah', 'minggu', 'ke', 'dua']","['lama', 'menunggu', 'respon', 'laporan', 'ditindak', 'lanjuti', 'minggu']",lama menunggu respon laporan ditindak lanjuti minggu,negatif,7
1,"Baik Web atau Aplikasi sama2 error'. Pemaksaan ubah Password sama sekali tidak berpengaruh, jadi tidak usah dipaksakan untuk ubah password, cukup diingatkan saja","baik web atau aplikasi sama2 error'. pemaksaan ubah password sama sekali tidak berpengaruh, jadi tidak usah dipaksakan untuk ubah password, cukup diingatkan saja",baik web atau aplikasi sama error pemaksaan ubah password sama sekali tidak berpengaruh jadi tidak usah dipaksakan untuk ubah password cukup diingatkan saja,baik website atau aplikasi sama error pemaksaan ubah password sama sekali tidak berpengaruh jadi tidak usah dipaksakan untuk ubah password cukup diingatkan saja,"['baik', 'website', 'atau', 'aplikasi', 'sama', 'error', 'pemaksaan', 'ubah', 'password', 'sama', 'sekali', 'tidak', 'berpengaruh', 'jadi', 'tidak', 'usah', 'dipaksakan', 'untuk', 'ubah', 'password', 'cukup', 'diingatkan', 'saja']","['baik', 'website', 'aplikasi', 'error', 'pemaksaan', 'ubah', 'password', 'tidak', 'berpengaruh', 'tidak', 'dipaksakan', 'ubah', 'password']",baik website aplikasi error pemaksaan ubah password tidak berpengaruh tidak dipaksakan ubah password,negatif,13
2,Saya mengirim laporan gagal terus. Tidak bisa validasi duplikat artinya apa?,saya mengirim laporan gagal terus. tidak bisa validasi duplikat artinya apa?,saya mengirim laporan gagal terus tidak bisa validasi duplikat artinya apa,saya mengirim laporan gagal terus tidak bisa validasi duplikat artinya apa,"['saya', 'mengirim', 'laporan', 'gagal', 'terus', 'tidak', 'bisa', 'validasi', 'duplikat', 'artinya', 'apa']","['saya', 'mengirim', 'laporan', 'gagal', 'tidak', 'bisa', 'validasi', 'duplikat']",saya mengirim laporan gagal tidak bisa validasi duplikat,negatif,8
2,Kok tidak ada pilihan kementerian ketenagakerjaan ya?,kok tidak ada pilihan kementerian ketenagakerjaan ya?,kok tidak ada pilihan kementerian ketenagakerjaan ya,kok tidak ada pilihan kementerian ketenagakerjaan ya,"['kok', 'tidak', 'ada', 'pilihan', 'kementerian', 'ketenagakerjaan', 'ya']","['tidak', 'ada', 'pilihan', 'kementerian', 'ketenagakerjaan']",tidak ada pilihan kementerian ketenagakerjaan,negatif,5
5,Selalu direspon... 👍👍👍,selalu direspon... 👍👍👍,selalu direspon,selalu direspon,"['selalu', 'direspon']",['direspon'],direspon,positif,1
